simulation_id,timestamp,city,area,hour,day_of_week,is_weekend,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_severity_index,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,traffic_intensity_score,congestion_probability,accident_probability,congestion_occurred,accident_occurred,active_scenarios,scenario_count
1,2024-06-11 03:00:00,london,Chelsea,3,1,0,16.2,48,43.28,50.12,9022,28.94,681,31.67,2,Medium,Damaged,238.35,0.7522,0.3513,1,0,Heavy Rain|Strong Winds,2
2,2024-05-29 10:00:00,london,Islington,10,2,0,13.89,28,42.94,51.13,5730,21.4,1856,40.54,3,Low,Damaged,852.01,0.6726,0.2494,0,1,Heavy Rain|Strong Winds,2
3,2024-02-24 14:00:00,london,Islington,14,5,1,13.5,98,44.64,10.24,5402,18.58,190,86.82,3,Medium,Damaged,67.92,0.5436,0.4615,1,1,Heavy Rain|High Humidity,2
4,2024-01-03 14:00:00,london,Hackney,14,2,0,-0.53,77,21.49,45.76,3885,18.1,2123,25.39,7,Medium,Dry,688.62,0.6394,0.1109,1,1,Heavy Rain|Temperature Extremes,2
5,2024-07-07 05:00:00,london,Kensington,5,6,1,25.21,67,34.99,29.42,6706,17.49,3443,46.5,9,Low,Dry,1444.78,0.6334,0.0963,0,0,Heavy Rain,1
6,2024-06-29 07:00:00,london,Westminster,7,5,1,1.67,61,33.58,50.15,6046,27.76,4063,57.55,5,Medium,Dry,1412.1,0.7393,0.1666,0,0,Heavy Rain|Strong Winds,2
7,2024-05-15 04:00:00,london,Kensington,4,2,0,-1.12,85,24.94,18.07,7025,16.06,554,50.47,5,Medium,Snowy,179.71,0.6195,0.2505,1,0,Heavy Rain|Temperature Extremes|High Humidity,3
8,2024-02-26 10:00:00,london,Hammersmith,10,0,0,8.45,49,47.05,16.93,10189,20.27,3210,118.14,0,High,Wet,1044.86,0.6612,0.4818,1,0,Heavy Rain,1
9,2024-06-19 10:00:00,london,Chelsea,10,2,0,0.53,60,5.47,6.52,7596,7.38,3782,96.86,8,Low,Wet,1337.84,0.5391,0.1812,1,0,Normal,0
10,2024-05-17 07:00:00,london,Westminster,7,4,0,22.64,68,4.55,54.83,8294,20.42,965,80.38,8,Low,Dry,449.28,0.6626,0.1383,0,1,Strong Winds,1
11,2024-01-08 06:24:00,london,Southwark,6,0,0,2.4,60,18.92,7.39,6160,9.25,3501,39.01,5,Low,Wet,1303.73,0.5557,0.1131,1,0,Normal,0
12,2024-05-24 15:00:00,london,Chelsea,15,4,0,10.83,50,10.36,71.9,6502,20.38,110,102.94,9,Low,Damaged,47.04,0.4992,0.4323,0,1,Strong Winds,1
13,2024-01-18 07:00:00,london,Southwark,7,3,0,34.14,68,49.93,59.72,9596,39.53,1336,101.82,7,Medium,Damaged,471.54,0.8724,0.7671,1,1,Heavy Rain|Temperature Extremes|Strong Winds,3
14,2024-03-11 04:00:00,london,Kensington,4,0,0,-1.61,24,10.93,49.9,7395,22.99,1630,25.5,6,Low,Snowy,542.17,0.6889,0.1881,1,0,Temperature Extremes,1
15,2024-06-05 05:00:00,london,Islington,5,2,0,17.13,85,18.89,6.19,7307,6.48,716,10.59,7,Medium,Wet,266.39,0.5312,0.1199,0,0,High Humidity,1
16,2024-07-01 07:00:00,london,Hammersmith,7,0,0,-3.04,78,5.62,54.12,6100,20.4,1157,11.07,5,Medium,Wet,393.47,0.6624,0.1658,0,0,Temperature Extremes|Strong Winds,2
17,2024-01-22 11:00:00,london,Southwark,11,0,0,15.29,84,48.61,44.52,6396,25.74,1777,67.16,9,High,Wet,719.54,0.7177,0.3235,1,1,Heavy Rain|High Humidity,2
18,2024-06-17 03:00:00,london,Kensington,3,0,0,26.71,42,36.62,51.16,7760,31.61,626,72.84,8,Medium,Wet,249.92,0.7816,0.3065,1,1,Heavy Rain|Strong Winds,2
19,2024-03-19 19:00:00,london,Southwark,19,1,0,-3.83,89,18.91,72.93,4224,28.5,4208,110.69,9,Medium,Dry,1857.74,0.7474,0.282,1,0,Temperature Extremes|High Humidity|Strong Winds,3
20,2024-01-27 00:00:00,london,Islington,0,5,1,27.5,96,1.69,75.3,10019,26.59,54,84.22,8,Medium,Wet,24.78,0.4893,0.3144,1,0,High Humidity|Strong Winds,2
21,2024-05-17 07:00:00,london,Westminster,7,4,0,22.64,68,4.55,54.83,8294,16.78,965,76.07,8,Low,Dry,447.49,0.6265,0.1231,1,0,Strong Winds,1
22,2024-07-07 05:00:00,london,Kensington,5,6,1,25.21,67,34.99,29.42,6706,17.65,3443,46.93,9,Low,Dry,1229.34,0.635,0.0969,0,0,Heavy Rain,1
23,2024-01-04 21:00:00,london,Hammersmith,21,3,0,10.6,49,37.8,24.15,5254,16.19,2762,98.67,2,High,Snowy,1120.38,0.6207,0.4862,0,1,Heavy Rain,1
24,2024-01-11 06:00:00,london,Southwark,6,3,0,6.91,34,35.04,75.99,5166,28.34,238,40.64,9,Low,Snowy,99.72,0.7447,0.2266,1,0,Heavy Rain|Strong Winds,2
25,2024-06-19 03:00:00,london,Kensington,3,2,0,17.6,85,26.99,70.0,7755,23.76,4154,78.02,9,Medium,Damaged,1662.02,0.6969,0.4685,1,1,Heavy Rain|High Humidity|Strong Winds,3
26,2024-07-06 12:00:00,london,Westminster,12,5,1,30.42,70,7.17,59.05,7313,25.65,1145,81.17,4,High,Wet,442.67,0.7168,0.3692,1,0,Temperature Extremes|Strong Winds,2
27,2024-06-14 18:00:00,london,Chelsea,18,4,0,20.44,65,43.12,13.19,8569,18.09,4756,116.25,5,Medium,Damaged,1863.89,0.6393,0.6124,1,1,Heavy Rain,1
28,2024-05-08 12:14:00,london,Chelsea,12,2,0,1.28,87,21.98,33.88,2578,17.17,4804,108.52,3,Low,Dry,2097.84,0.6302,0.1712,0,0,Heavy Rain|High Humidity,2
29,2024-01-21 18:00:00,london,Hackney,18,6,1,13.63,62,2.08,23.35,997,5.75,2362,76.48,5,Low,Wet,1072.94,0.5248,0.1416,1,1,Normal,0
30,2024-05-24 03:00:00,london,Camden,3,4,0,14.17,28,21.92,51.32,5158,21.32,1801,87.19,1,Low,Damaged,809.87,0.6717,0.3764,1,0,Heavy Rain|Strong Winds,2
31,2024-04-05 00:45:00,london,Islington,0,4,0,20.66,57,30.74,51.21,3210,27.87,3821,66.07,2,Low,Dry,1307.23,0.7406,0.1385,1,0,Heavy Rain|Strong Winds,2
32,2024-06-16 07:00:00,london,Westminster,7,6,1,23.34,98,9.63,63.78,9687,19.27,3517,120.45,7,Medium,Wet,1498.69,0.6511,0.3924,1,0,High Humidity|Strong Winds,2
33,2024-06-19 10:00:00,london,Chelsea,10,2,0,0.53,60,5.47,6.52,7596,9.12,3782,96.68,8,Low,Wet,1796.81,0.5546,0.1892,0,1,Normal,0
34,2024-04-13 04:00:00,london,Hammersmith,4,5,1,33.3,27,16.34,1.47,4278,10.11,457,109.78,5,Low,Wet,200.69,0.5635,0.2211,0,0,Temperature Extremes,1
35,2024-07-06 03:00:00,london,Chelsea,3,5,1,16.34,65,35.69,54.65,5576,28.72,4865,92.03,9,Low,Wet,2031.19,0.7498,0.2711,1,0,Heavy Rain|Strong Winds,2
36,2024-05-12 16:00:00,london,Camden,16,6,1,26.56,53,36.67,32.01,7101,22.34,2069,66.86,5,Low,Snowy,811.76,0.6823,0.2525,1,1,Heavy Rain,1
37,2024-01-22 11:00:00,london,Southwark,11,0,0,15.29,84,48.61,44.52,6396,24.0,1777,70.19,9,High,Wet,783.36,0.6994,0.3224,0,0,Heavy Rain|High Humidity,2
38,2024-06-05 05:00:00,london,Islington,5,2,0,17.13,85,18.89,6.19,7307,7.99,716,11.27,7,Medium,Wet,289.2,0.5444,0.125,1,0,High Humidity,1
39,2024-03-19 19:00:00,london,Westminster,19,1,0,-3.83,89,18.91,72.93,2516,28.29,4271,74.73,2,Medium,Wet,1976.89,0.7451,0.2952,0,0,Temperature Extremes|High Humidity|Strong Winds,3
