traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
9001.0,07/05/2024 02AM,London,Hammersmith,279.0,99.19,8.0,Medium,Damaged,10728.0
9002.0,09/04/2024 10AM,London,Islington,4549.0,63.7,4.0,High,Snowy,8863.0
9003.0,2024-06-03T21:29Z,London,Southwark,4240.0,100.95,5.0,Low,Wet,8404.0
9004.0,2024-06-02 20:06,London,Chelsea,619.0,38.18,5.0,Medium,Wet,8000.0
9005.0,2024-07-17T19:18Z,London,Islington,4749.0,36.16,2.0,Low,Damaged,7966.0
9006.0,2024-02-14T20:06Z,London,Camden,3230.0,54.04,2.0,High,Wet,10888.0
9007.0,2024-01-15 11:37,London,Hackney,3206.0,74.66,7.0,Medium,Dry,10037.0
9008.0,08/02/2024 02AM,London,Islington,998.0,11.56,2.0,Low,Dry,11561.0
9009.0,2024-02-24T13:03Z,London,Camden,1978.0,61.58,6.0,Low,Snowy,10850.0
9010.0,2024-01-02 19:23,London,Southwark,4151.0,98.79,0.0,High,Wet,3535.0
9011.0,2024-01-25 21:55,London,Chelsea,1411.0,73.06,7.0,Medium,Dry,11319.0
9012.0,TBD,London,Camden,4355.0,77.56,7.0,Medium,Dry,11347.0
9013.0,04/06/2024 01PM,London,Hammersmith,1446.0,79.81,5.0,Low,Damaged,9360.0
9014.0,2024-05-16T23:21Z,London,Westminster,1647.0,69.48,5.0,Medium,Dry,2984.0
9015.0,2024-02-15 01:03,London,Islington,656.0,60.0,0.0,Low,Dry,4174.0
9016.0,2024-05-30 07:00,London,Islington,3705.0,53.8,3.0,High,Wet,2054.0
9017.0,2024-06-22 02:59,London,Camden,862.0,92.36,1.0,Low,Damaged,10380.0
9018.0,02/06/2024 04AM,London,Westminster,3466.0,96.42,2.0,High,Damaged,292.0
9019.0,14/03/2024 03PM,London,Chelsea,4014.0,75.52,7.0,Low,Snowy,11676.0
9020.0,2024-06-01 19:52,London,Islington,4165.0,40.94,3.0,Low,Damaged,11988.0
9021.0,2024-02-01 11:19,London,Southwark,3702.0,52.58,0.0,Medium,Damaged,8073.0
9022.0,2024-06-24 01:04,London,Chelsea,4283.0,94.74,0.0,High,Snowy,14291.0
9023.0,2024-06-01T20:25Z,London,Camden,588.0,79.08,1.0,High,Dry,
9024.0,2024-01-20T14:20Z,London,Chelsea,2256.0,91.53,5.0,Low,Dry,6423.0
9025.0,2024-06-09T14:20Z,London,Southwark,2418.0,23.8,4.0,Low,Dry,9165.0
9026.0,2024-03-11 16:57,London,Hammersmith,320.0,119.55,30.0,Medium,Snowy,11352.0
9027.0,2024-04-25T21:45Z,London,Hackney,931.0,32.69,8.0,High,Snowy,227.0
9028.0,2024-04-18 12:48,London,Camden,1860.0,93.89,7.0,Low,Snowy,9929.0
9029.0,2024-01-28T03:02Z,London,Hammersmith,899.0,33.17,3.0,Medium,Snowy,827.0
9030.0,13/02/2024 10AM,London,Chelsea,1216.0,96.48,5.0,Medium,Dry,14959.0
9031.0,2024-06-17 05:48,London,Hackney,757.0,18.17,8.0,Medium,Wet,8505.0
9032.0,2024-02-07T11:26Z,London,Islington,4951.0,11.78,2.0,Medium,Damaged,10204.0
9033.0,2024-03-09T05:02Z,London,Chelsea,467.0,24.29,3.0,Low,Snowy,7932.0
9034.0,2024-02-04 17:30,London,Westminster,292.0,58.68,7.0,Low,Damaged,14636.0
9035.0,2024-03-14T18:18Z,London,Kensington,782.0,64.38,4.0,High,Wet,3380.0
9036.0,14/07/2024 02PM,London,Hackney,1372.0,83.55,7.0,Low,Wet,11087.0
9037.0,2024-03-11 00:55,London,Hackney,4636.0,73.34,1.0,High,Dry,2682.0
9038.0,2024-07-03 14:35,London,Islington,2589.0,37.95,9.0,High,Wet,11631.0
9039.0,2024-06-27 07:30,London,Camden,3988.0,94.81,0.0,Low,Damaged,6259.0
9040.0,2024-02-14T15:34Z,London,Hackney,758.0,72.32,9.0,High,Dry,5303.0
9041.0,2024-07-05T21:39Z,London,Westminster,3470.0,101.73,8.0,Low,Wet,5160.0
9042.0,2024-03-11T18:26Z,London,Kensington,2796.0,85.0,3.0,Low,Wet,4274.0
9043.0,2024-05-24 05:30,London,Westminster,1031.0,73.35,4.0,High,Damaged,3923.0
9044.0,2024-06-12T11:55Z,London,Westminster,3090.0,82.17,0.0,High,Snowy,5599.0
9045.0,2024-03-19T02:13Z,London,Southwark,25.0,107.66,4.0,High,Damaged,2250.0
9046.0,01/04/2024 03PM,London,Camden,2863.0,6.91,0.0,High,Dry,14581.0
9047.0,2024-01-25T08:36Z,London,Hammersmith,4647.0,106.5,9.0,Low,Snowy,7793.0
