weather_id,date_time,city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_condition,air_pressure_hpa
5001.0,2024-03-17T23:50Z,London,Spring,26.02,23.0,1.67,41.21,7744.0,Fog,978.95
5002.0,19/06/2024 10AM,London,Summer,0.53,60.0,5.47,6.52,9894.0,Snow,1039.15
5003.0,2024-05-10T05:25Z,London,Spring,3.45,44.0,11.3,72.85,5001.0,Snow,961.24
5004.0,2024-04-23 07:50,London,Spring,16.59,20.0,12.39,31.98,2966.0,Fog,1034.45
5005.0,18/05/2024 09AM,London,Spring,17.69,94.0,13.8,29.06,913.0,Rain,1025.04
5006.0,2024-05-20 06:02,London,Spring,9.38,81.0,14.16,5.71,1848.0,Snow,970.49
5007.0,2024-01-09T17:09Z,London,Winter,-0.52,87.0,44.91,27.55,7764.0,Storm,1023.71
5008.0,2024-01-18 11:24,London,Winter,-4.23,56.0,71.0204950451992,17.59,2403.0,Rain,987.22
5009.0,07/07/2024 07PM,London,Summer,18.21,24.0,62.69613752346226,50.96,3397.0,Storm,989.15
5010.0,2024-06-04T19:18Z,London,Summer,29.71,52.0,47.94,39.13,2261.0,Rain,1048.6
5011.0,2024-03-22T08:33Z,London,Spring,27.28,74.0,23.09,57.42,9146.0,Snow,986.49
5012.0,2024-03-12 10:34,London,Spring,28.4,43.0,20.33,56.91,9695.0,Rain,962.81
5013.0,2024-06-28 20:07,London,Summer,8.75,37.0,14.35,24.31,4753.0,Rain,1013.21
5014.0,2024-07-09T18:57Z,London,Summer,-0.94,26.0,41.73,58.01,2492.0,Snow,1002.27
5015.0,08/04/2024 10AM,London,Summer,-2.46,62.0,28.72,52.92,7053.0,Storm,995.56
5016.0,29/03/2024 08PM,London,Spring,2.88,27.0,45.83,68.94,9768.0,Storm,956.14
5017.0,2024-06-04 15:11,London,Summer,8.73,37.0,40.98,37.1,8686.0,Clear,1029.32
5018.0,2024-03-17T06:32Z,London,Spring,12.16,68.0,42.45,17.0,1340.0,Snow,1036.45
5019.0,2024-01-15T04:45Z,London,Winter,27.47,49.0,43.32,30.13,2721.0,Clear,996.46
5020.0,20/02/2024 09PM,London,Winter,-0.45,33.0,42.33,9.61,2486.0,Fog,1006.58
5021.0,19/03/2024 05PM,London,Spring,16.52,88.0,43.31,40.47,434.0,Snow,957.76
5022.0,08/06/2024 01PM,London,Summer,13.82,65.0,3.76,55.74,1256.0,Rain,967.94
5023.0,2024-01-26T04:55Z,London,Winter,13.17,83.0,6.24,4.41,6067.0,Rain,978.96
5024.0,2024-05-20T04:05Z,London,Spring,17.42,70.0,10.74,76.85,1806.0,Snow,957.04
5025.0,2024-03-27T17:59Z,London,Spring,21.51,76.0,41.65,78.74,1964.0,Fog,987.47
5026.0,,London,,28.12,74.0,17.07,47.51,8771.0,Snow,1041.36
5027.0,11/02/2024 04PM,London,Autumn,5.95,69.0,33.15,56.74,7714.0,Storm,1038.47
5028.0,2024-02-22T03:50Z,London,Winter,8.66,64.0,41.79,77.48,8744.0,Rain,1025.17
5029.0,2024-02-25T14:44Z,London,Winter,6.97,75.0,5.26,45.89,6253.0,Snow,988.68
5030.0,2024-01-03T07:45Z,London,Winter,17.79,77.0,10.8,61.24,835.0,Fog,999.94
5031.0,Unknown,London,Autumn,10.62,66.0,1.11,64.59,2328.0,Clear,992.98
5032.0,2024-03-24T08:29Z,London,Spring,,39.0,0.43,47.77,4268.0,Clear,1014.42
5033.0,2024-04-14 04:36,London,Spring,-4.91,98.0,12.41,59.11,9800.0,Snow,998.08
5034.0,2024-03-04 12:57,London,Spring,4.57,30.0,28.78,62.39,9635.0,Fog,990.05
5035.0,2024-02-13T00:12Z,London,Winter,20.88,96.0,24.17,74.62,9110.0,Clear,1024.01
5036.0,18/03/2024 09PM,London,Spring,11.87,64.0,34.41,52.67,8181.0,Storm,955.9
5037.0,2024-01-17T10:38Z,London,Winter,18.41,48.0,20.82,14.11,4397.0,Clear,975.03
5038.0,08/02/2024 10AM,London,Summer,0.26,37.0,48.15,8.11,8540.0,Snow,983.3
5039.0,2024-03-21T21:16Z,London,Spring,-1.46,34.0,17.57,65.05,8116.0,Snow,1013.12
5040.0,26/01/2024 05AM,London,Winter,22.26,77.0,44.41,54.77,3158.0,Snow,953.79
5041.0,2024-04-24 18:57,London,Spring,17.17,47.0,28.24,37.92,7591.0,Storm,1005.02
5042.0,2024-02-17T09:53Z,London,Winter,31.28,29.0,6.86,38.43,4014.0,Clear,1013.05
5043.0,2024-02-03T15:13Z,London,Winter,12.96,45.0,5.02,65.69,5890.0,Rain,995.11
5044.0,2024-03-20 02:04,London,Spring,5.23,66.0,23.81,62.99,8862.0,Clear,970.77
5045.0,2024-04-12T12:12Z,London,Spring,26.95,95.0,37.99,17.54,9203.0,Rain,981.54
5046.0,2024-05-19 00:47,London,Spring,33.68,85.0,19.19,57.37,6264.0,Fog,1026.62
5047.0,2024-02-02T04:30Z,London,Winter,20.33,60.0,47.66,32.13,,Rain,964.19
5048.0,2024-05-21 20:42,London,Spring,33.92,28.0,2.76,40.32,302.0,Rain,1006.57
5049.0,2024-02-27T08:21Z,London,Winter,20.59,65.0,45.09,14.36,9775.0,Clear,1011.11
5050.0,2024-04-20T00:15Z,London,Spring,0.98,42.0,37.57,5.34,7981.0,Clear,965.69
5051.0,2024-01-24T07:42Z,London,Winter,-2.28,47.0,32.48,15.15,9826.0,Snow,993.22
5052.0,2024-04-30 02:48,London,,28.94,40.0,20.81,33.6,6174.0,Clear,1030.39
5053.0,2024-06-26T06:24Z,London,Summer,29.7,51.0,9.43,54.58,715.0,Clear,963.71
5054.0,2024-03-05 12:21,London,Spring,5.67,54.0,23.5,30.58,2279.0,Fog,957.93
5055.0,2024-02-16 10:00,London,Winter,13.38,98.0,27.29,34.69,6687.0,Storm,1033.32
5056.0,2024-06-03T02:12Z,London,Summer,-4.84,94.0,8.04,12.14,1534.0,Clear,991.78
5057.0,2024-04-29T16:35Z,London,Spring,27.74,84.0,10.7,63.79,3006.0,Snow,1014.18
5058.0,2024-05-19 12:48,London,Spring,-0.38,62.0,12.47,15.14,126.0,Storm,1024.68
5059.0,2024-05-31T21:37Z,London,Spring,2.4,89.0,26.37,70.22,6034.0,Rain,950.03
5060.0,2024-07-04T23:10Z,London,Summer,15.74,24.0,39.86,73.34,5186.0,Storm,984.73
5061.0,2024-04-21 06:29,London,Spring,29.65,74.0,49.58,4.85,5510.0,Rain,988.26
5062.0,2024-01-13 03:57,London,Winter,34.36,61.0,44.63,43.0,4668.0,Fog,959.36
5063.0,2024-03-20 06:34,London,Spring,8.96,60.0,8.12,16.59,1453.0,Snow,977.2
5064.0,2024-04-20 23:45,London,Spring,23.18,56.0,3.67,35.1,7873.0,Clear,1021.33
5065.0,07/05/2024 12AM,London,Summer,2.88,26.0,15.97,0.15,7586.0,Clear,1042.49
5066.0,26/03/2024 06PM,London,Spring,10.75,97.0,42.64,9.28,1407.0,Clear,951.33
5067.0,2024-04-18T05:08Z,London,Spring,28.3,97.0,19.5,19.49,6935.0,Rain,1007.14
5068.0,18/07/2024 09AM,London,Summer,13.99,86.0,2.71,20.57,2292.0,Snow,1028.09
5069.0,14/04/2024 08PM,London,Spring,29.11,66.0,39.32,42.57,5968.0,Fog,951.16
5070.0,2024-01-25T14:58Z,London,Winter,20.64,29.0,29.75,52.99,454.0,Clear,1048.75
5071.0,2024-04-08 08:49,London,Spring,13.59,87.0,20.12,54.86,9500.0,Storm,1004.04
5072.0,14/04/2024 03PM,London,Spring,19.05,88.0,9.36,51.63,4840.0,Storm,964.98
5073.0,2024-03-07 05:01,London,Spring,-1.12,31.0,41.84,8.99,8192.0,Rain,1024.89
5074.0,15/04/2024 08PM,London,Spring,13.62,54.0,2.3,13.01,9210.0,Rain,998.36
5075.0,2024-02-06T06:14Z,London,Winter,4.72,75.0,4.68,58.97,1040.0,Rain,975.56
5076.0,12/05/2024 05AM,London,Winter,1.36,23.0,44.3,75.6,1627.0,Snow,1036.48
5077.0,2024-02-01T00:47Z,London,Winter,16.69,77.0,4.71,24.57,3793.0,Snow,1024.69
5078.0,2024-01-28T07:01Z,London,Winter,3.56,29.0,2.4,28.35,526.0,Fog,996.7
5079.0,2024-06-23 09:10,London,Summer,32.81,27.0,25.54,63.76,7227.0,Rain,983.58
5080.0,2024-01-08T11:01Z,London,Winter,12.87,50.0,29.34,27.27,7522.0,Clear,1029.42
5081.0,2024-05-21T19:53Z,London,Spring,4.45,21.0,14.34,34.69,3178.0,Storm,1040.8
5082.0,2024-04-24 17:28,London,Spring,-2.98,71.0,16.2,40.81,2634.0,Snow,952.25
5083.0,2024-01-22 16:17,London,Winter,20.18,85.0,32.22,15.62,7524.0,Fog,960.12
5084.0,19/03/2024 02AM,London,Spring,11.71,98.0,29.75,19.06,2865.0,Snow,1028.86
5085.0,2024-02-13 17:39,London,Winter,8.08,30.0,39.78,65.05,6507.0,Snow,1015.57
5086.0,2024-03-19T16:52Z,London,Spring,12.39,29.0,42.3,6.95,5991.0,Snow,1046.22
5087.0,2024-01-09T20:43Z,London,Winter,16.37,58.0,36.89,50.35,2924.0,Storm,953.59
5088.0,2024-01-10T17:36Z,London,Winter,28.9,96.0,10.98,66.96,317.0,Snow,986.51
5089.0,2024-03-07 22:11,London,Spring,3.9,21.0,5.81,23.93,3335.0,Clear,1042.79
5090.0,2024-03-08 12:24,London,Spring,32.99,51.0,35.98,30.85,8482.0,Snow,1039.29
5091.0,2024-04-23T23:46Z,London,Spring,13.85,60.0,47.02,74.11,939.0,Fog,1040.1
5092.0,2024-06-19T17:59Z,London,HOT,33.86,55.0,19.69,26.23,5521.0,Rain,964.46
5093.0,25/05/2024 05AM,London,Spring,9.53,70.0,16.51,12.35,4465.0,Clear,989.32
5094.0,2024-03-22 15:53,London,Spring,1.88,33.0,47.39,35.14,832.0,Rain,993.03
5095.0,16/04/2024 09PM,London,Spring,33.39,32.0,21.49,6.37,4633.0,Snow,1019.91
5096.0,2024-06-15 11:26,London,Summer,6.73,94.0,28.42,11.7,6859.0,Storm,953.7
5097.0,2024-02-06 04:20,London,Winter,-3.68,40.0,0.21,58.16,1259.0,Storm,1002.17
5098.0,07/06/2024 04PM,London,Summer,26.71,58.0,48.67,49.68,5700.0,Fog,968.71
5099.0,2024-04-23T23:59Z,London,Spring,27.17,58.0,30.41,64.88,2690.0,Rain,1039.25
5100.0,2024-03-25T19:41Z,London,Spring,12.79,62.0,42.44,75.52,8454.0,Fog,1024.23
5101.0,2024-02-29 12:40,London,Winter,11.97,24.0,46.27,37.62,2361.0,Clear,1022.53
,2024-03-17T22:58Z,London,Spring,11.52,95.0,45.23,51.06,6319.0,Storm,1040.96
5103.0,2024-04-13T15:11Z,London,Spring,21.37,27.0,27.38,50.07,4476.0,Clear,969.27
5104.0,26/05/2024 09AM,London,Spring,5.72,55.0,34.74,2.18,4373.0,Fog,952.84
5105.0,2024-02-27 03:03,London,Winter,17.05,98.0,6.73,79.13,710.0,Rain,971.79
5106.0,22/03/2024 02AM,London,Spring,25.89,57.0,4.54,64.14,4653.0,Clear,977.54
5107.0,2024-03-15 14:58,London,Spring,26.9,89.0,40.36,42.12,9809.0,Storm,990.07
5108.0,24/05/2024 02AM,London,Spring,10.79,73.0,49.37,62.97,3975.0,Fog,1017.89
5109.0,2024-01-06 03:11,London,Winter,5.55,39.0,0.07,4.2,5470.0,Fog,1026.36
5110.0,2024-03-20T17:11Z,London,Spring,31.57,70.0,34.09,60.11,9262.0,Clear,1032.74
5111.0,30/06/2024 05AM,London,Summer,3.0,70.0,31.57,1.5,3894.0,Fog,963.73
5112.0,28/06/2024 08AM,London,Summer,16.47,20.0,15.86,46.03,4683.0,Rain,991.07
5113.0,2024-06-03 18:28,London,Summer,14.78,33.0,30.23,61.53,2990.0,Clear,1003.53
5114.0,2024-02-01T14:21Z,London,Winter,11.79,34.0,18.77,9.36,6054.0,Fog,1024.33
5115.0,2024-01-28T02:52Z,London,Winter,25.85,61.0,31.34,33.66,4137.0,Storm,1033.34
5116.0,2024-03-16 14:16,London,Spring,6.05,88.0,39.51,58.38,8568.0,Fog,972.09
5117.0,09/07/2024 08AM,London,Autumn,34.88,33.0,35.97,24.96,7802.0,Clear,1001.31
5118.0,2024-05-14T14:59Z,London,Spring,32.65,91.0,0.88,30.06,7592.0,Clear,1036.24
5119.0,2024-01-13 03:19,London,Winter,29.26,25.0,16.24,49.6,1499.0,Rain,1025.04
5120.0,2024-05-06 09:18,London,Spring,12.23,33.0,4.13,45.86,6922.0,Fog,971.81
5121.0,2024-06-06T19:40Z,London,Summer,24.34,50.0,47.9,52.75,8613.0,Rain,994.44
5122.0,2024-01-12T12:59Z,London,Winter,32.11,58.0,26.84,51.98,2263.0,Snow,968.42
5123.0,2024-03-08T22:22Z,London,Spring,9.71,46.0,22.52,62.25,5158.0,Storm,978.86
5124.0,2024-06-19T09:31Z,London,Summer,31.37,62.0,40.41,69.18,5358.0,Snow,992.66
5125.0,19/01/2024 10PM,London,Winter,13.89,28.0,43.83,16.75,1447.0,Clear,982.2
5126.0,2024-01-02 06:37,London,Winter,11.12,87.0,48.63,35.73,4157.0,Fog,981.68
5127.0,2024-02-14T05:41Z,London,Winter,4.48,73.0,30.43,41.23,163.0,Rain,992.36
5128.0,05/05/2024 02AM,London,Spring,13.52,89.0,32.83,67.42,6506.0,Fog,995.31
5129.0,19/01/2024 02AM,London,Winter,-4.4,22.0,25.55,52.28,9037.0,Fog,970.62
5130.0,06/02/2024 10PM,London,,31.9,31.0,38.12,59.34,6201.0,Fog,961.37
5131.0,2024-02-27T15:17Z,London,Winter,1.72,53.0,49.16,17.35,3055.0,Fog,1027.4
5132.0,27/01/2024 02PM,London,Winter,-2.08,61.0,13.12,55.52,5832.0,,1041.46
5133.0,2024-06-06 09:42,London,Summer,26.29,76.0,21.22,39.03,4558.0,Storm,1016.71
5134.0,2024-02-12T15:10Z,London,Winter,20.8,54.0,17.42,14.6,8966.0,Rain,962.97
5135.0,2024-04-03T13:04Z,London,Spring,2.39,75.0,11.33,49.95,2877.0,Clear,1028.1
5136.0,17/06/2024 05PM,London,Summer,8.84,74.0,38.92,35.87,3814.0,Storm,1004.62
5137.0,09/05/2024 06PM,London,Autumn,-0.83,91.0,31.06,0.86,2706.0,Snow,1039.85
5138.0,06/05/2024 02PM,London,Summer,22.52,33.0,2.97,16.62,818.0,Storm,985.64
5139.0,08/01/2024 11PM,London,Summer,17.71,66.0,27.09,65.85,1607.0,Storm,1004.9
5140.0,2024-05-15 22:38,London,Spring,31.79,38.0,35.9,25.79,9410.0,Rain,963.14
5141.0,13/06/2024 06AM,London,Summer,4.89,48.0,46.63,43.58,368.0,Storm,954.74
5142.0,2024-01-17T20:08Z,London,Winter,18.38,69.0,26.35,42.64,5656.0,Clear,955.75
5143.0,2099-13-40 25:61,London,Autumn,14.03,28.0,44.08,74.36,3988.0,Fog,1028.64
5144.0,2024-04-21T02:08Z,London,Spring,4.14,95.0,2.32,71.52,3474.0,Clear,967.85
5145.0,2024-01-05 17:01,London,Winter,7.28,32.0,41.39,63.4,4009.0,Snow,989.57
5146.0,2024-04-09T09:47Z,London,Spring,10.0,51.0,21.24,68.16,542.0,Clear,1014.62
5147.0,2024-03-29T23:27Z,London,Spring,-3.11,72.0,43.52,60.94,65.0,Fog,1161.56
5148.0,2024-04-15T23:23Z,London,Spring,-0.56,67.0,4.96,21.05,881.0,Clear,1022.75
5149.0,25/04/2024 07PM,London,Spring,5.2,73.0,19.77,77.6,2038.0,Storm,994.53
5150.0,2024-07-10 18:56,London,Summer,-4.74,36.0,12.5,61.81,9812.0,Snow,1026.57
5151.0,05/03/2024 02PM,London,Spring,33.5,40.0,16.41,5.6,6237.0,Rain,
